,time,交易方式,信用交易,基本資料,最近一次除權息交易日,本日漲停,本日跌停,每交易單位,處置股票,行情資訊,證券代碼,開盤競價基準
0,2020-02-27 13:42:27,普通交易,可,公開資訊觀測站,108年12月19日,350.0,287.0,1000股,查詢,五檔資訊,2330,318.5
1,2020-02-27 13:42:45,普通交易,可,公開資訊觀測站,108年12月19日,350.0,287.0,1000股,查詢,五檔資訊,2330,318.5
2,2020-02-27 15:49:52,普通交易,可,公開資訊觀測站,108年12月19日,350.0,287.0,1000股,查詢,五檔資訊,2330,318.5
3,2020-02-27 15:50:48,普通交易,可,公開資訊觀測站,108年12月19日,350.0,287.0,1000股,查詢,五檔資訊,2330,318.5
4,2020-02-27 15:52:41,普通交易,可,公開資訊觀測站,108年12月19日,350.0,287.0,1000股,查詢,五檔資訊,2330,318.5
5,2020-02-27 15:54:33,普通交易,可,公開資訊觀測站,108年12月19日,350.0,287.0,1000股,查詢,五檔資訊,2330,318.5
6,2020-02-27 18:21:04,普通交易,可,公開資訊觀測站,108年12月19日,350.0,287.0,1000股,查詢,五檔資訊,2330,318.5
7,2020-02-27 18:21:27,普通交易,可,公開資訊觀測站,108年12月19日,350.0,287.0,1000股,查詢,五檔資訊,2330,318.5
8,2020-02-27 18:22:17,普通交易,可,公開資訊觀測站,108年12月19日,350.0,287.0,1000股,查詢,五檔資訊,2330,318.5
9,2020-02-27 18:23:28,普通交易,可,公開資訊觀測站,108年12月19日,350.0,287.0,1000股,查詢,五檔資訊,2330,318.5
10,2020-02-27 18:24:42,普通交易,可,公開資訊觀測站,108年12月19日,350.0,287.0,1000股,查詢,五檔資訊,2330,318.5
11,2020-02-27 21:36:23,普通交易,可,公開資訊觀測站,108年12月19日,350.0,287.0,1000股,查詢,五檔資訊,2330,318.5
